city,stateCode,countryCode,total_2014,total_2015,total_2016,total_2017,total_2018
New City,NY,US,5241,5295,5791,6209,7055
Los Angeles,CA,US,4605,5310,5651,5826,5971
Chicago,IL,US,3361,3599,4332,4458,4528
Boston,MA,US,2058,2214,2421,2475,2548
Philadelphia,PA,US,1742,2003,2461,2547,2616
Las Vegas,NV,US,1622,1792,2157,2445,1880
Atlanta,GA,US,1454,1676,1954,2310,2243
Seattle,WA,US,1542,1636,1945,2199,2125
Austin,TX,US,2262,2555,2459,2540,2332
Minneapolis,MN,US,1298,1464,1534,1673,1799
Phoenix,AZ,US,1283,1505,1652,1883,1698
Washington,DC,US,1079,1144,1312,1534,1730
Indianapolis,IN,US,1428,1472,2093,2238,2265
Portland,OR,US,1180,1228,1473,1681,1687
Cleveland,OH,US,919,994,1166,1256,1079
Houston,TX,US,1182,1258,1469,1707,1458
Pittsburgh,PA,US,979,1096,1288,1351,1218
Baltimore,MD,US,980,1025,1200,1389,1151
New Orleans,LA,US,1163,1303,1689,1479,1371
West Hollywood,CA,US,740,718,589,554,460
Orlando,FL,US,999,962,1066,1176,1154
Tampa,FL,US,906,824,1040,1552,1257
Buffalo,NY,US,578,559,637,752,559
Columbus,OH,US,788,863,1012,962,783
Salt Lake City,UT,US,794,876,980,1092,1100
Jersey City,NJ,US,337,323,327,409,487
Miami,FL,US,1043,1135,1295,1065,1001
Cincinnati,OH,US,547,557,632,734,763
Fort Lauderdale,FL,US,436,573,740,676,728
Charlotte,NC,US,575,641,712,811,695
Louisville,KY,US,683,708,771,776,711
San Antonio,TX,US,548,625,773,797,565
Providence,RI,US,243,289,422,344,318
Cambridge,MA,US,541,550,580,574,592
Anaheim,CA,US,399,471,359,489,394
Berkeley,CA,US,99,108,177,291,358
Birmingham,AL,US,462,588,642,489,357
Raleigh,NC,US,415,487,543,612,583
Richmond,VA,US,325,425,542,580,535
Memphis,TN,US,251,262,338,381,360
Tempe,AZ,US,253,295,254,284,265
Hartford,CT,US,215,236,281,302,257
Omaha,NE,US,258,358,653,582,470
Jacksonville,FL,US,385,444,390,429,327
Albuquerque,NM,US,355,337,367,409,309
Oklahoma City,OK,US,289,282,357,386,369
Tucson,AZ,US,295,353,336,328,347
San Jose,CA,US,253,315,279,288,342
Grand Rapids,MI,US,283,303,381,416,413
California City,CA,US,54,68,68,82,80
